Simon #3 cutout,Simon #6 cutout,Simon #14 cutout,Simon #16 cutout,Simon #18 cutout,Simon #19 cutout,Simon #20 cutout,Simon #22 cutout,Simon #32 cutout,Simon #33 cutout,Simon #34 cutout,Simon #38 cutout,Simon #41 cutout,Simon #43 cutout,Simon #57 cutout,Simon #58 cutout,Simon #70 cutout,Simon #73 cutout,Simon #82 cutout,Simon #83 cutout,Simon #104 cutout,Simon #106 cutout,Simon #109 cutout,Simon #112 cutout
,2.58,,,-1,2.79,1.27,,-3.79,,-1,0.57,-0.15,-0.68,-2.58,-2.56,1.53,-0.89,-3.82,1.84,,,3.4,1.72
,2.68,,,-0.79,3.05,0.93,,-3.89,,-0.89,0.53,-0.19,-0.58,-2.58,-2.62,1.63,-0.79,-3.82,2.32,,,3.43,1.72
,3.63,,,-0.68,3.05,0.55,,-3.89,,-0.68,0.49,-0.34,-0.47,-2.59,-2.62,1.84,-0.37,-3.82,2.32,,,3.45,1.71
,3.89,,,-0.58,3.11,0.26,,-4,,-0.58,0.47,-0.38,-0.37,-2.59,-2.68,1.95,-0.26,-3.82,2.42,,,3.45,1.69
,3.89,,,-0.16,,-0.08,,-4,,-0.16,0.43,-0.43,0.26,-2.61,-2.68,2.05,0.37,-3.82,2.42,,,3.47,1.69
,3.95,,,-0.05,,-0.48,,-4.11,,-0.05,0.38,-0.48,0.58,-2.61,-2.78,2.16,0.47,-3.82,2.95,,,3.47,1.67
,4.16,,,0.05,,-0.75,,-4.11,,0.58,0.35,-0.53,1,-2.62,-2.78,2.37,0.89,-3.81,2.95,,,3.51,1.66
,4.42,,,0.26,,-1.14,,-4.21,,0.68,0.35,-0.62,1.37,-2.62,-2.83,2.47,1,-3.81,3.37,,,3.53,1.65
,4.42,,,0.37,,-1.48,,-4.21,,1.63,0.32,-0.67,1.37,-2.62,-2.86,2.58,1.11,-3.81,3.37,,,3.55,1.62
,4.47,,,0.47,,-1.84,,-4.11,,1.74,0.31,-0.72,1.42,-2.62,-2.86,2.79,1.21,-3.79,3.58,,,3.57,1.61
,4.68,,,1.63,,-2.37,,-4.11,,1.95,0.27,-0.77,1.84,-2.62,-2.89,2.89,1.32,-3.79,3.58,,,3.57,1.59
,4.89,,,1.74,,-2.61,,-3.89,,2.05,0.22,-0.82,2.32,-2.62,-2.96,3,1.79,-3.79,3.63,,,3.6,1.57
