Simon #3 cutout,Simon #6 cutout,Simon #14 cutout,Simon #16 cutout,Simon #18 cutout,Simon #19 cutout,Simon #20 cutout,Simon #22 cutout,Simon #32 cutout,Simon #33 cutout,Simon #34 cutout,Simon #38 cutout,Simon #41 cutout,Simon #43 cutout,Simon #57 cutout,Simon #58 cutout,Simon #70 cutout,Simon #73 cutout,Simon #82 cutout,Simon #83 cutout,Simon #104 cutout,Simon #106 cutout,Simon #109 cutout,Simon #112 cutout
,,,,-4.21,,0.34,,-1.11,,-3.79,-2.77,-4.03,-2.58,-0.02,-0.83,-2.47,-3.84,-3.46,,,,0.39,-0.95
,,,,-4.21,,-0.07,,-1.21,,-3.79,-2.79,-4.03,-2.47,0.05,-0.8,-2.37,-3.74,-3.48,,,,0.39,-0.99
,,,,-4.11,,-0.72,,-1.58,,-3.68,-2.79,-4.03,-2.26,0.06,-0.8,-2.26,-3.32,-3.53,,,,0.41,-1.01
,,,,-4.11,,-1.11,,-1.58,,-3.68,-2.8,-4.08,-2.16,0.12,-0.77,-1.74,-3.21,-3.55,,,,0.43,-1.04
,,,,-3.68,,-1.63,,-1.79,,-3.47,-2.83,-4.08,-2.05,0.17,-0.67,-1.32,-3,-3.55,,,,0.43,-1.06
,,,,-3.68,,-2.03,,-1.79,,-3.47,-2.83,-4.08,-1.95,0.24,-0.59,-1.21,-2.89,-3.55,,,,0.51,-1.08
,,,,-3.32,,-2.08,,-1.89,,-3.37,-2.85,-4.08,-1.84,0.29,-0.53,-1.16,-2.79,-3.56,,,,0.99,-1.13
,,,,-3.21,,-2.08,,-1.89,,-3.37,-2.85,-4.08,-1.74,0.36,-0.49,,-2.68,-3.58,,,,2.05,-1.15
,,,,-3.16,,-2.08,,-2,,-3.16,-2.86,-4.08,-1.53,0.38,-0.4,,-2.58,-3.58,,,,2.68,-1.17
,,,,,,-2.11,,-2,,-3.16,-2.86,-4.08,-1.42,0.41,-0.37,,-2.47,-3.58,,,,3.24,-1.19
,,,,,,-2.14,,-2.16,,-2.68,-2.86,-4.08,-1.32,0.44,-0.24,,-2.37,-3.59,,,,3.6,-1.21
,,,,,,-2.14,,-2.47,,-2.58,-2.86,-4.08,-1.11,0.49,-0.09,,-2.26,-3.59,,,,3.75,-1.23
,,,,,,-2.14,,-2.58,,-2.26,-2.86,-4.08,-1,0.53,0.03,,-2.16,-3.58,,,,3.77,-1.27
,,,,,,-2.14,,-2.68,,-2.16,-2.86,-4.08,-0.37,0.55,0.16,,-1.95,-3.58,,,,3.65,-1.27
,,,,,,-2.16,,-3.05,,-2.05,-2.88,-4.03,-0.32,0.6,0.19,,-1.84,-3.59,,,,3.21,-1.28
,,,,,,-2.18,,-3.05,,-1.95,-2.89,-4.03,-0.21,0.61,0.24,,-1.63,-3.61,,,,2.71,-1.36
,,,,,,-2.21,,-3.16,,-1.89,-2.89,-4.03,-0.16,0.65,0.34,,-1.53,-3.62,,,,2.68,-1.71
,,,,,,-2.21,,-3.16,,,-2.89,-4.03,-0.05,0.65,0.4,,-1.32,-3.62,,,,2.65,-1.73
,,,,,,-2.23,,-3.26,,,-2.89,-4.03,0.05,0.66,0.46,,-1.21,-3.64,,,,2.63,
,,,,,,-2.23,,-3.26,,,-2.89,-4.03,0.89,0.68,0.56,,-0.89,-3.65,,,,2.61,
,,,,,,-2.25,,-3.37,,,-2.89,-4.03,0.95,0.72,0.67,,-0.79,-3.68,,,,2.59,
,,,,,,-2.25,,-3.37,,,-2.89,-4.03,1.05,0.74,0.74,,-0.47,-3.68,,,,2.56,
,,,,,,-2.25,,-3.42,,,-2.92,-4.03,,0.77,0.77,,-0.37,-3.71,,,,2.54,
,,,,,,-2.28,,-3.95,,,-2.92,-4.03,,0.79,0.77,,0.68,-3.71,,,,2.52,
,,,,,,-2.31,,-4.32,,,-2.92,-4.03,,0.83,0.89,,0.74,-3.71,,,,2.48,
,,,,,,-2.31,,-4.32,,,-2.92,-4.03,,0.88,1.02,,,-3.71,,,,2.46,
,,,,,,-2.31,,-4.42,,,-2.94,-4.03,,0.91,1.14,,,-3.71,,,,2.46,
,,,,,,-2.33,,-4.42,,,-2.94,-4.03,,0.93,1.26,,,-3.72,,,,2.44,
,,,,,,-2.33,,-4.53,,,-2.94,-4.03,,0.94,1.39,,,-3.72,,,,2.41,
,,,,,,-2.33,,-4.53,,,-2.94,-3.99,,0.96,1.45,,,-3.73,,,,2.39,
,,,,,,-2.36,,-4.63,,,-2.95,-3.17,,0.97,1.57,,,-3.75,,,,2.37,
,,,,,,-2.36,,-4.63,,,-2.95,-2.12,,0.97,1.6,,,-3.75,,,,2.35,
,,,,,,-2.38,,-4.74,,,-2.95,-0.62,,1.01,1.69,,,-3.75,,,,2.32,
,,,,,,-2.4,,-4.74,,,-2.97,-0.58,,1.02,1.73,,,-3.75,,,,2.29,
,,,,,,-2.4,,-4.84,,,-2.97,-0.43,,1.04,1.79,,,-3.75,,,,2.27,
,,,,,,-2.4,,-4.84,,,-2.97,-0.34,,1.05,1.82,,,-3.75,,,,2.24,
,,,,,,-2.43,,-4.95,,,-2.97,-0.28,,1.07,1.92,,,-3.75,,,,2.22,
,,,,,,-2.43,,-4.95,,,-2.97,-0.15,,1.09,1.98,,,-3.75,,,,2.2,
,,,,,,-2.45,,-5.05,,,-2.97,0,,1.09,2,,,-3.75,,,,2.2,
,,,,,,-2.45,,-5.05,,,-2.97,0.05,,1.13,2.03,,,-3.78,,,,2.18,
,,,,,,-2.45,,-5.16,,,-2.94,0.09,,1.15,2.06,,,-3.78,,,,2.15,
,,,,,,-2.47,,-5.16,,,-2.94,0.19,,1.16,2.22,,,-3.78,,,,2.13,
,,,,,,-2.47,,-5.26,,,-2.92,0.24,,1.16,2.35,,,-3.78,,,,2.11,
,,,,,,-2.47,,-5.26,,,-2.92,0.28,,1.17,2.35,,,-3.78,,,,1.86,
,,,,,,-2.51,,-5.37,,,-2.92,0.39,,1.17,2.44,,,-3.78,,,,1.83,
,,,,,,-2.51,,-5.37,,,-2.88,0.39,,1.19,2.56,,,-3.78,,,,1.81,
,,,,,,-2.51,,-5.47,,,-2.88,0.43,,1.21,2.68,,,-3.78,,,,1.79,
,,,,,,-2.53,,-5.47,,,-2.86,0.53,,1.21,2.75,,,-3.78,,,,1.77,
,,,,,,-2.53,,-5.58,,,-2.85,0.58,,1.24,2.84,,,-3.79,,,,1.74,
,,,,,,-2.53,,-5.58,,,-2.82,0.67,,1.27,2.87,,,-3.79,,,,1.72,
,,,,,,-2.55,,-5.68,,,-2.8,0.72,,1.29,2.96,,,-3.79,,,,1.69,
,,,,,,-2.58,,-5.68,,,-2.79,0.77,,1.29,3.05,,,-3.79,,,,1.66,
,,,,,,-2.58,,-5.21,,,-2.76,3.51,,1.32,3.12,,,-3.79,,,,1.64,
,,,,,,-2.6,,-5.11,,,-2.76,3.51,,1.33,3.12,,,-3.79,,,,1.55,
,,,,,,-2.6,,-4.74,,,-2.76,3.6,,1.33,3.18,,,-3.79,,,,1.55,
,,,,,,-2.6,,-4.74,,,-2.74,3.65,,1.35,3.21,,,-3.79,,,,1.55,
,,,,,,-2.62,,-4.37,,,-2.73,3.65,,1.37,3.27,,,-3.79,,,,1.53,
,,,,,,-2.62,,-4.26,,,-2.71,3.69,,1.4,3.31,,,-3.79,,,,1.47,
,,,,,,-2.62,,-4.16,,,-2.67,3.69,,1.42,3.33,,,-3.79,,,,1.45,
,,,,,,-2.65,,-4.05,,,-2.66,3.75,,1.42,3.33,,,-3.79,,,,1.42,
,,,,,,-2.67,,-3.95,,,-2.61,3.75,,1.42,3.33,,,-3.79,,,,1.4,
,,,,,,-2.67,,-3.53,,,-2.58,3.8,,1.43,3.24,,,-3.79,,,,1.38,
