Simon #3 cutout,Simon #6 cutout,Simon #14 cutout,Simon #16 cutout,Simon #18 cutout,Simon #19 cutout,Simon #20 cutout,Simon #22 cutout,Simon #32 cutout,Simon #33 cutout,Simon #34 cutout,Simon #38 cutout,Simon #41 cutout,Simon #43 cutout,Simon #57 cutout,Simon #58 cutout,Simon #70 cutout,Simon #73 cutout,Simon #82 cutout,Simon #83 cutout,Simon #104 cutout,Simon #106 cutout,Simon #109 cutout,Simon #112 cutout
2.7,-2.95,,,-4.1,-0.45,1.75,,-2.65,,-4,0.89,0.68,-2.7,-2.28,-1.32,-1.75,-3.6,-3.63,-1.75,,,3.07,1.41
2.7,-1.55,,,-4.1,-0.05,1.75,,-2.75,,-4,0.85,0.64,-2.7,-2.3,-1.38,-1.35,-3.6,-3.63,-0.95,,,3.07,1.54
2.85,-1.45,,,-3.75,0.05,1.72,,-3.1,,-3.3,0.83,0.55,-2.45,-2.33,-1.46,-1.25,-2.95,-3.63,-0.85,,,3.1,1.65
,-1.05,,,-3.65,1.45,1.72,,-3.1,,-3.3,0.8,0.5,-2.35,-2.33,-1.55,-0.85,-2.85,-3.63,-0.75,,,3.1,1.69
,-0.95,,,-3.55,1.55,1.7,,-3.2,,-3.1,0.77,0.41,-1.95,-2.35,-1.58,-0.75,-2.75,-3.63,-0.7,,,3.12,1.69
,-0.65,,,-3.45,1.95,1.7,,-3.2,,-3.1,0.76,0.32,-1.85,-2.35,-1.67,0.25,-2.65,-3.63,-0.6,,,3.12,1.69
,-0.45,,,-3.25,2.05,1.65,,-3.3,,-2.9,0.73,0.27,-1.65,-2.36,-1.7,0.35,-2.45,-3.63,-0.55,,,3.14,1.69
,0.45,,,-3.15,2.15,1.65,,-3.3,,-2.9,0.71,0.23,-1.55,-2.38,-1.82,0.75,-2.25,-3.63,1.15,,,3.16,1.69
,0.55,,,-3.05,2.4,1.63,,-3.4,,-1.95,0.65,0.18,-1.45,-2.4,-1.93,0.85,-2.15,-3.63,1.25,,,3.16,1.67
,0.75,,,-1.45,2.4,1.63,,-3.4,,-1.85,0.64,0.09,-1.35,-2.43,-2.08,0.95,-1.65,-3.63,1.35,,,3.19,1.66
,1.05,,,-1.35,2.5,1.61,,-3.5,,-1.75,0.64,0.05,-1.25,-2.43,-2.2,1.05,-1.55,-3.63,1.45,,,3.19,1.65
