Simon #3 cutout,Simon #6 cutout,Simon #14 cutout,Simon #16 cutout,Simon #18 cutout,Simon #19 cutout,Simon #20 cutout,Simon #22 cutout,Simon #32 cutout,Simon #33 cutout,Simon #34 cutout,Simon #38 cutout,Simon #41 cutout,Simon #43 cutout,Simon #57 cutout,Simon #58 cutout,Simon #70 cutout,Simon #73 cutout,Simon #82 cutout,Simon #83 cutout,Simon #104 cutout,Simon #106 cutout,Simon #109 cutout,Simon #112 cutout
-1.4,-2,,,2.8,-3.65,0.19,,4.7,,1.95,-2.03,-3.42,-0.5,-1.15,-2.96,-3.3,0.15,-1.32,-3.6,-1.6,,-0.21,2.17
-1.4,-2,,,2.8,-3.75,0.21,,4.7,,1.05,-2.04,-3.47,-0.6,-1.13,-2.9,-3.3,-1.85,-1.36,-3.6,-1.6,,-0.18,2.16
-1.3,-2.05,,,2.45,-4,0.23,,4.5,,0.95,-2.07,-3.47,-0.65,-1.12,-2.84,-3.4,-1.95,-1.4,-3.7,-1.3,,-0.16,2.16
-1.3,-2.35,,,2.35,-4,0.26,,4.5,,0.55,-2.09,-3.51,-1.35,-1.1,-2.78,-3.4,-2.05,-1.51,-3.7,,,-0.14,2.13
-1.2,-2.6,,,2.25,-4.4,0.28,,4.3,,0.45,-2.1,-3.51,-1.45,-1.09,-2.75,-3.5,-2.35,-1.55,-3.8,,,-0.11,2.05
-1.2,-2.6,,,-2.95,-4.4,0.3,,4.3,,-0.05,-2.13,-3.56,-2.15,-1.02,-2.67,-3.5,-2.95,-1.66,-3.8,,,-0.11,1.72
-0.55,-2.7,,,-3.05,-4.5,0.35,,4,,-0.35,-2.15,-3.61,-2.45,-1,-2.67,-3.6,-3.05,-1.74,-3.9,,,-0.09,1.46
-0.45,-2.7,,,-3.15,-4.5,0.37,,4,,-0.45,-2.18,-3.65,-2.55,-0.96,-2.61,-3.6,-3.15,-1.85,-3.9,,,-0.07,1.14
-0.3,-2.8,,,-3.5,-4.6,0.4,,3.65,,-1.15,-2.19,-3.65,-2.8,-0.89,-2.55,-3.7,-3.8,-1.97,-3.8,,,-0.05,0.62
,-2.8,,,-3.5,-4.6,0.42,,3.55,,-1.45,-2.23,-3.65,-2.8,-0.88,-2.46,-3.7,-3.8,-2,-3.8,,,-0.02,0.05
,-2.9,,,-3.6,-4.5,0.44,,3.45,,-1.65,-2.24,-3.7,-3.2,-0.86,-2.46,-3.8,-3.9,-2.08,-3.75,,,0.02,-0.39
,-2.9,,,-3.6,-4.5,0.47,,3.35,,-1.85,-2.24,-3.7,-3.2,-0.84,-2.34,-3.8,-3.9,-2.16,-3.75,,,0.05,-0.4
,-3.1,,,-3.8,-4.4,0.49,,3.25,,-2.05,-2.26,-3.7,-3.4,-0.81,-2.34,-3.7,-4.1,-2.19,-3.8,,,0.09,-0.43
,-3.1,,,-3.8,-4.4,0.54,,3.15,,-2.15,-2.26,-3.7,-3.4,-0.76,-2.29,-3.7,-4.1,-2.27,-3.8,,,0.09,-0.46
,-3.2,,,-3.9,-4.15,0.54,,3.05,,-3.1,-2.27,-3.7,-3.5,-0.7,-2.2,-3.6,-4.2,-2.31,-3.7,,,0.11,-0.48
,-3.2,,,-3.9,-4.05,0.56,,2.95,,-3.1,-2.27,-3.74,-3.5,-0.66,-2.11,-3.6,-4.2,-2.42,-3.7,,,0.11,-0.51
,-3.5,,,-3.8,-3.95,0.58,,2.85,,-3.2,-2.29,-3.79,-3.6,-0.65,-2.02,-3.5,-4.3,-2.53,-3.6,,,0.14,-0.54
,-3.5,,,-3.8,-3.55,0.61,,2.75,,-3.2,-2.29,-3.79,-3.6,-0.58,-1.9,-3.5,-4.3,-2.57,-3.6,,,0.14,-0.55
,-3.8,,,-3.7,-3.5,0.76,,2.65,,-3.5,-2.29,-3.79,-3.7,-0.57,-1.82,-3.4,-4.4,-2.68,-3.5,,,0.16,-0.59
,-3.8,,,-3.7,-3.5,1.23,,2.25,,-3.5,-2.33,-3.79,-3.7,-0.53,-1.67,-3.4,-4.4,-2.72,-3.5,,,0.16,-0.62
,-3.9,,,-3.9,-3.25,1.66,,2.15,,-3.6,-2.36,-3.83,-3.8,-0.49,-1.55,-3.3,-4.5,-2.76,-3.05,,,0.18,-0.63
,-3.9,,,-3.9,-3.15,1.92,,1.95,,-3.6,-2.38,-3.83,-3.8,-0.42,-1.52,-3.3,-4.5,-2.8,-2.95,,,0.18,-0.64
,-3.65,,,-4,-3.1,2,,1.85,,-3.7,-2.38,-3.83,-3.9,-0.41,-1.41,-3.2,-4.6,-3.06,-2.85,,,0.21,-0.67
,-3.35,,,-4,,2.13,,1.75,,-3.7,-2.41,-3.83,-3.9,-0.31,-1.38,-3.2,-4.6,-3.1,-2.45,,,0.21,-0.7
,-3.3,,,-4.1,,2.17,,1.65,,-3.8,-2.44,-3.83,-3.6,-0.29,-1.26,-3.1,-4.5,-3.14,-1.95,,,0.23,-0.71
,-3.3,,,-4.1,,2.1,,1.35,,-3.8,-2.47,-3.83,-3.6,-0.24,-1.23,-3.1,-4.5,-3.16,-1.85,,,0.23,-0.72
,-3.05,,,-4.3,,2,,1.25,,-3.9,-2.48,-3.83,-3.25,-0.21,-1.17,-3,-4.4,-3.17,-1.45,,,0.25,-0.75
,-2.85,,,-4.3,,1.89,,0.55,,-3.9,-2.51,-3.83,-3.15,-0.19,-1.08,-3,-4.4,-3.19,-1.35,,,0.28,-0.78
,-2.8,,,-4.4,,1.73,,0.45,,-3.8,-2.51,-3.83,-3.1,-0.18,-1.05,-2.8,-4.3,-3.22,-1.15,,,0.28,-0.8
,-2.8,,,-4.4,,1.35,,0.25,,-3.8,-2.54,-3.83,-3.1,-0.16,-1,-2.8,-4.3,-3.25,-1.05,,,0.3,-0.84
,-2.6,,,-4.3,,1.03,,0.05,,-3.7,-2.57,-3.83,-2.65,-0.1,-0.88,-2.7,-3.85,-3.26,-1,,,0.32,-0.86
,,,,-4.3,,0.74,,-0.95,,-3.7,-2.62,-3.83,-2.55,-0.06,-0.85,-2.7,-3.75,-3.28,,,,0.34,-0.9
,,,,-4,,0.32,,-1.05,,-3.6,-2.63,-3.83,-2.45,-0.02,-0.79,-2.35,-3.65,-3.29,,,,0.37,-0.9
